Zipcode	Average_Household_Size	Prevelance	COUNTYNAME
33478	3.01	5.516456956	Palm Beach
33480	2.2	5.483002692	Palm Beach
33484	2.36	6.585801742	Palm Beach
33487	2.59	7.481742999	Palm Beach
33496	2.69	6.995117621	Palm Beach
33510	3.09	6.468519646	Hillsborough
33511	3.0300000000000002	7.283327384	Hillsborough
33513	2.89	6.678203414	Sumter
33523	3.18	0.047783382	Hernando
33523	3.18	0.047783382	Pasco
33523	3.18	6.105654367	Hernando
33523	3.18	6.105654367	Pasco
33525	2.85	7.241446345	Pasco
33527	3.29	8.461436523	Hillsborough
33540	2.71	0	Hillsborough
33540	2.71	0	Pasco
33540	2.71	6.252889505	Hillsborough
33540	2.71	6.252889505	Pasco
33541	2.64	6.760133259	Pasco
33542	2.71	5.481253117	Pasco
33543	3.12	7.227589146	Pasco
33544	3.18	5.796998616	Pasco
33545	3.48	6.584320131	Pasco
33547	3.41	5.909599722	Hillsborough
33547	3.41	5.909599722	Polk
33547	3.41	0	Hillsborough
33547	3.41	0	Polk
33549	3	5.256139571	Hillsborough
33549	3	5.256139571	Pasco
33549	3	0.283364818	Hillsborough
33549	3	0.283364818	Pasco
33556	3.06	7.88542835	Hillsborough
33556	3.06	7.88542835	Pasco
33556	3.06	0.664308515	Hillsborough
33556	3.06	0.664308515	Pasco
33558	3.16	6.767568459	Hillsborough
33558	3.16	6.767568459	Pasco
33558	3.16	0.144341801	Hillsborough
33558	3.16	0.144341801	Pasco
33559	3.12	4.779949115	Hillsborough
33559	3.12	4.779949115	Pasco
33559	3.12	0.200292319	Hillsborough
33559	3.12	0.200292319	Pasco
33563	3.19	8.133271501	Hillsborough
33565	3.18	5.693013883	Hillsborough
33566	3.16	7.928388747	Hillsborough
33567	3.27	7.027470275	Hillsborough
33569	3.22	6.029815062	Hillsborough
33570	3.29	8.549404345	Hillsborough
33572	2.8200000000000003	6.364082434	Hillsborough
33573	2.27	7.207596029	Hillsborough
33578	3.05	7.502953168	Hillsborough
33579	3.31	7.240661019	Hillsborough
33584	3.23	6.306440779	Hillsborough
33592	3.23	5.941451585	Hillsborough
33594	3.02	6.201883174	Hillsborough
33596	3.16	5.173532274	Hillsborough
33598	3.22	10.50715604	Hillsborough
33598	3.22	10.50715604	Manatee
33598	3.22	0.01994714	Hillsborough
33598	3.22	0.01994714	Manatee
33602	2.61	11.26652124	Hillsborough
33603	3.04	7.296639521	Hillsborough
33604	3.13	6.82001818	Hillsborough
33605	3.18	8.382894364	Hillsborough
33607	2.95	13.32841207	Hillsborough
33609	2.92	8.553383786	Hillsborough
33610	3.18	7.487339473	Hillsborough
33611	2.87	7.37526459	Hillsborough
33612	3.34	6.760073437	Hillsborough
33613	3.0300000000000002	8.800661704	Hillsborough
33614	3.02	11.28414187	Hillsborough
33615	3.08	9.521805018	Hillsborough
33617	3.08	5.893636306	Hillsborough
33618	2.91	6.792921907	Hillsborough
33619	3.29	8.717449865	Hillsborough
33624	2.99	7.039670377	Hillsborough
33625	2.94	8.232924373	Hillsborough
33626	3.03	5.975343981	Hillsborough
33629	2.99	7.246591035	Hillsborough
33634	3.3200000000000003	9.406223865	Hillsborough
33647	3.21	5.00394344	Hillsborough
33701	2.4699999999999998	11.8387589	Pinellas
33702	2.85	6.24941441	Pinellas
33703	2.81	6.155881552	Pinellas
33704	2.66	5.382169356	Pinellas
33705	2.96	8.701528225	Pinellas
33706	2.3	6.029042338	Pinellas
33707	2.52	6.504623087	Pinellas
33708	2.43	5.620841883	Pinellas
33709	2.79	7.059588123	Pinellas
33710	2.9	6.510431886	Pinellas
33712	2.85	8.557684534	Pinellas
33713	2.8200000000000003	6.374428094	Pinellas
33714	3.02	5.35991951	Pinellas
33716	2.62	7.932244271	Pinellas
33755	2.9699999999999998	7.360234445	Pinellas
33756	2.89	8.836949163	Pinellas
33759	2.7600000000000002	6.849089713	Pinellas
33760	2.94	6.806645132	Pinellas
33761	2.68	5.244013337	Pinellas
33763	2.7	5.007602636	Pinellas
33764	2.75	6.526354319	Pinellas
33765	2.85	7.236842105	Pinellas
33767	2.27	7.353730542	Pinellas
33770	2.73	5.873737184	Pinellas
33771	2.67	6.300016466	Pinellas
33772	2.71	6.261621622	Pinellas
33773	2.8400000000000003	7.473714123	Pinellas
33774	2.71	6.133613306	Pinellas
33776	2.83	5.864584101	Pinellas
33777	2.81	7.672557917	Pinellas
33778	2.85	6.946920861	Pinellas
33781	2.96	6.87962665	Pinellas
33782	2.8000000000000003	6.505140127	Pinellas
33785	2.25	5.541237113	Pinellas
33801	3.09	6.499854524	Polk
33803	2.84	6.49694501	Polk
33805	3.1100000000000003	9.784950449	Polk
33809	2.89	7.651497677	Polk
33810	3.02	0.007821819	Hillsborough
33810	3.02	0.007821819	Polk
33810	3.02	7.164786171	Hillsborough
33810	3.02	7.164786171	Polk
33811	2.94	7.8993406	Polk
33813	2.92	6.934631287	Polk
33815	3.19	7.446527594	Polk
33823	3.1	7.321136397	Polk
33825	2.85	0	Hardee
33825	2.85	0	Highlands
33825	2.85	0	Polk
