Zipcode	Category	Proportion	Prevelance	COUNTYNAME
33547	Non-white	0.1	5.9095997220828345	Hillsborough
33547	Non-white	0.1	5.9095997220828345	Polk
33547	Non-white	0.1	0	Hillsborough
33547	Non-white	0.1	0	Polk
33549	Non-white	0.13	5.256139571063452	Hillsborough
33549	Non-white	0.13	5.256139571063452	Pasco
33549	Non-white	0.13	0.2833648183131459	Hillsborough
33549	Non-white	0.13	0.2833648183131459	Pasco
33556	Non-white	0.11	7.885428349581572	Hillsborough
33556	Non-white	0.11	7.885428349581572	Pasco
33556	Non-white	0.11	0.6643085152273316	Hillsborough
33556	Non-white	0.11	0.6643085152273316	Pasco
33558	Non-white	0.11	6.767568459254371	Hillsborough
33558	Non-white	0.11	6.767568459254371	Pasco
33558	Non-white	0.11	0.14434180138568128	Hillsborough
33558	Non-white	0.11	0.14434180138568128	Pasco
33559	Non-white	0.18000000000000002	4.779949114924484	Hillsborough
33559	Non-white	0.18000000000000002	4.779949114924484	Pasco
33559	Non-white	0.18000000000000002	0.2002923185189195	Hillsborough
33559	Non-white	0.18000000000000002	0.2002923185189195	Pasco
33563	Non-white	0.22	8.133271501444726	Hillsborough
33565	Non-white	0.05	5.693013882669055	Hillsborough
33566	Non-white	0.06	7.928388746803069	Hillsborough
33567	Non-white	0.12	7.027470274702748	Hillsborough
33569	Non-white	0.18000000000000002	6.02981506223191	Hillsborough
33570	Non-white	0.17	8.549404344779257	Hillsborough
33572	Non-white	0.11	6.364082433758587	Hillsborough
33573	Non-white	0.08	7.207596029348295	Hillsborough
33578	Non-white	0.26	7.502953168463971	Hillsborough
33579	Non-white	0.25	7.240661019302874	Hillsborough
33584	Non-white	0.2	6.306440779162624	Hillsborough
33592	Non-white	0.16	5.94145158496449	Hillsborough
33594	Non-white	0.18	6.201883174494148	Hillsborough
33596	Non-white	0.12	5.173532273759325	Hillsborough
33598	Non-white	0.16999999999999998	10.507156036503266	Hillsborough
33598	Non-white	0.16999999999999998	10.507156036503266	Manatee
33598	Non-white	0.16999999999999998	0.0199471400787912	Hillsborough
33598	Non-white	0.16999999999999998	0.0199471400787912	Manatee
33602	Non-white	0.23	11.26652123700757	Hillsborough
33603	Non-white	0.29000000000000004	7.296639520733876	Hillsborough
33604	Non-white	0.29000000000000004	6.82001817998182	Hillsborough
33605	Non-white	0.59	8.382894364202775	Hillsborough
33607	Non-white	0.30000000000000004	13.328412073490814	Hillsborough
33609	Non-white	0.08	8.553383786138182	Hillsborough
33610	Non-white	0.63	7.487339473065664	Hillsborough
33611	Non-white	0.11000000000000001	7.375264590263078	Hillsborough
33612	Non-white	0.39	6.760073437047058	Hillsborough
33613	Non-white	0.27999999999999997	8.80066170388751	Hillsborough
33614	Non-white	0.17	11.284141867101509	Hillsborough
33615	Non-white	0.15000000000000002	9.521805017679744	Hillsborough
33617	Non-white	0.44	5.893636306148689	Hillsborough
33618	Non-white	0.12000000000000001	6.792921906990348	Hillsborough
33619	Non-white	0.46	8.717449865309787	Hillsborough
33624	Non-white	0.14	7.039670376604779	Hillsborough
33625	Non-white	0.18	8.23292437282549	Hillsborough
33626	Non-white	0.15	5.975343980743584	Hillsborough
33629	Non-white	0.03	7.246591035068918	Hillsborough
33634	Non-white	0.2	9.406223865487037	Hillsborough
33647	Non-white	0.33	5.003943439806209	Hillsborough
33701	Non-white	0.18000000000000002	11.838758901322482	Pinellas
33702	Non-white	0.15	6.249414410193947	Pinellas
33703	Non-white	0.07	6.155881551811355	Pinellas
33704	Non-white	0.04	5.3821693557884815	Pinellas
33705	Non-white	0.5800000000000001	8.701528225387255	Pinellas
33706	Non-white	0.03	6.029042338092029	Pinellas
33707	Non-white	0.09	6.504623087172447	Pinellas
33708	Non-white	0.03	5.6208418827333215	Pinellas
33709	Non-white	0.13	7.059588122994436	Pinellas
33710	Non-white	0.09	6.510431885921338	Pinellas
33712	Non-white	0.72	8.557684533915435	Pinellas
33713	Non-white	0.2	6.37442809447261	Pinellas
33714	Non-white	0.22	5.35991950974115	Pinellas
33716	Non-white	0.2	7.932244271461462	Pinellas
33755	Non-white	0.27	7.360234445446348	Pinellas
33756	Non-white	0.16	8.836949162520973	Pinellas
