Zipcode	Proportion	Prevelance	COUNTYNAME
33432	23	8.571289110167424	Palm Beach
33433	20	10.000745212012818	Palm Beach
33434	26	6.360441276969637	Palm Beach
33435	29.000000000000004	8.22595808217663	Palm Beach
33436	22	6.507226505428308	Palm Beach
33437	22	4.76252883204026	Palm Beach
33440	41	11.330398259197409	Hendry
33440	41	11.330398259197409	Palm Beach
33440	41	0.025302363240726686	Hendry
33440	41	0.025302363240726686	Palm Beach
33441	26	9.804926252607693	Broward
33442	29.000000000000004	9.073332412650187	Broward
33444	21	8.09854860348823	Palm Beach
33445	25	7.504021701416269	Palm Beach
33446	26	6.767668999461662	Palm Beach
33455	27	5.545045045045045	Martin
33458	14.000000000000002	0.006812685219879415	Martin
33458	14.000000000000002	0.006812685219879415	Palm Beach
33458	14.000000000000002	6.800763020744627	Martin
33458	14.000000000000002	6.800763020744627	Palm Beach
33460	33	9.142541368618181	Palm Beach
33461	31	9.110715407981566	Palm Beach
33462	28.000000000000004	8.068349327637556	Palm Beach
33463	24	8.495210532110669	Palm Beach
33467	18	7.215126886714214	Palm Beach
33469	20	0.17421602787456447	Martin
33469	20	0.17421602787456447	Palm Beach
33469	20	5.97024926293219	Martin
33469	20	5.97024926293219	Palm Beach
33470	15	7.855913899769375	Palm Beach
33472	19	5.119196988707653	Palm Beach
33477	21	4.750951776649746	Palm Beach
33478	7.000000000000001	0	Martin
33478	7.000000000000001	0	Palm Beach
33478	7.000000000000001	5.516456955996303	Martin
33478	7.000000000000001	5.516456955996303	Palm Beach
33480	13.999999999999998	5.483002691655867	Palm Beach
33484	33	6.585801741511084	Palm Beach
33487	20	7.481742999468008	Palm Beach
33496	20	6.995117620949845	Palm Beach
33510	21.000000000000004	6.46851964563468	Hillsborough
33511	21.000000000000004	7.283327384291129	Hillsborough
33513	38	6.678203413828365	Sumter
33523	30	0.04778338200159278	Hernando
33523	30	0.04778338200159278	Pasco
33523	30	6.105654366870188	Hernando
33523	30	6.105654366870188	Pasco
33525	26	7.24144634525661	Pasco
33527	28.000000000000004	8.461436522661012	Hillsborough
33540	38	0	Hillsborough
33540	38	0	Pasco
33540	38	6.25288950531669	Hillsborough
33540	38	6.25288950531669	Pasco
33541	34	6.760133259300388	Pasco
33542	41	5.481253116924332	Pasco
33543	14.000000000000002	7.227589146185538	Pasco
33544	11	5.796998616383439	Pasco
33545	11	6.584320130665578	Pasco
33547	12	5.9095997220828345	Hillsborough
33547	12	5.9095997220828345	Polk
33547	12	0	Hillsborough
33547	12	0	Polk
33549	16	5.256139571063452	Hillsborough
33549	16	5.256139571063452	Pasco
33549	16	0.2833648183131459	Hillsborough
33549	16	0.2833648183131459	Pasco
33556	12	7.885428349581572	Hillsborough
33556	12	7.885428349581572	Pasco
33556	12	0.6643085152273316	Hillsborough
33556	12	0.6643085152273316	Pasco
33558	15	6.767568459254371	Hillsborough
33558	15	6.767568459254371	Pasco
33558	15	0.14434180138568128	Hillsborough
33558	15	0.14434180138568128	Pasco
33559	20	4.779949114924484	Hillsborough
33559	20	4.779949114924484	Pasco
33559	20	0.2002923185189195	Hillsborough
33559	20	0.2002923185189195	Pasco
33563	32	8.133271501444726	Hillsborough
33565	25	5.693013882669055	Hillsborough
33566	19	7.928388746803069	Hillsborough
33567	25	7.027470274702748	Hillsborough
33569	17	6.02981506223191	Hillsborough
33570	29.000000000000004	8.549404344779257	Hillsborough
33572	13	6.364082433758587	Hillsborough
33573	30.000000000000004	7.207596029348295	Hillsborough
33578	20	7.502953168463971	Hillsborough
33579	10	7.240661019302874	Hillsborough
33584	22	6.306440779162624	Hillsborough
33592	40	5.94145158496449	Hillsborough
33594	18	6.201883174494148	Hillsborough
33596	9	5.173532273759325	Hillsborough
33598	17	10.507156036503266	Hillsborough
33598	17	10.507156036503266	Manatee
